"In what ways can you see the proposed model's potential either to improve or weaken organization of UMW at the department, school, college, or university level? Please be as specific as possible.",In what ways does the proposed model potentially improve and/or disrupt your own unit's existing programs and program offerings?,"Please provide specific, preferably actionable, suggestions for ways that you think the proposed model could be improved or amended."
"This is a test, what happens if I have an awful lot to say and it doesn't fit on one line",This is a test,This is a test
"Other than the cost-saving measures that will be enacted, I see as a potential improvement an increase in collaboration between departments of each new school. This could lead to interesting and interdisciplinary programming of new events. I do not foresee any downsides to this restructuring plan.","As I mentioned above, I believe that this restructuring has the possibility for faculty in my department to collaborate with faculty from other departments in the same school, both for teaching but especially with respect to programming of new events organized by the new schools. ","I do think that where faculty/departments are physically located can either help or hinder new potential for collaboration. As it now stands, there will be several faculty members in our new school who will continue to be located in a very different part of campus. If we believe that these new schools will be here to stay for decades to come, I would strongly encourage administration to begin to consider a relocation plan of certain departments so that faculty from the same schools are within closer proximity to each other, ideally within the same building.  "
"I think the proposed model could significantly improve the organization of UMW at most levels. I'm not sure I see a large benefit for my department (especially given that we do not fit neatly as a unit into humanities, as some of us are social scientists), but I think it will benefit other departments by providing some more focused attention, while still encouraging interdisciplinary opportunities. For example, the discussions surrounding the school of humanities is encouraging--having a central focus for humanities work that could offer the multiple departments an opportunity for fundraising efforts, interdisciplinary cooperation among the humanities departments, and, by the new structure, allowing our dean to actually do the work that many deans outside of UMW are able to do. I think this will greatly help departments that are struggling with numbers--through departmental efforts, but also through a greater school effort, there might be more opportunities to recruit and maintain students. ","I don't think it does. We are already an interdisciplinary group. My own personal concern was about the fact that we don't all fit into a ""humanities"" designation, but, so long as we can all still do the work we do, I'm not quite concerned about that. ","I can't speak for other programs or the larger restructuring, but I'm not sure I have suggestions--I think it's time to move forward and not to pump the brakes. "
"I think some of the groupings make a lot of sense. In my area, the Humanities, I see it possibly fostering better collaboration and innovation between the programs. However, I don't see the new university structure overall making a lot of difference either in terms of saving money or in recruitment. In some units (Computer Science especially) I see potential harm, including losing valuable faculty who have the possibility of better opportunities. ","In our case, I hope that by working with other Humanities disciplines we can increase language enrollments and find ways to promote the importance of languages and cultures. ","Provost O'Donnell created a structure that is nicely balanced and saved a little money. That is great from an administrator's point of view, but not necessarily good for all programs. I think the school idea should be reserved for the areas where that makes sense in terms of programs, recruitment and retention, and fundraising. The School of the Arts makes a lot of sense, as does the School of Science for those reasons. The School for the Humanities makes sense if we think of that unit as not only promoting their academic programs, but also interacting with the public more through a Center for the Humanities. Allowing the social sciences to group in units (not one school) that they think make the most sense might solve those problems. Same for Computer Science and Mathematics. Maybe instead of putting the latter under a dean and associate dean in Business, they could be a school of computational science with their own school director? "
"I don't see any particular issue with the new model, and it seems to be an improvement in dividing work and resources more evenly across the departments.",,
,,"I completely agree with the points Stephen Davies made in his email to all faculty on 2/26.  In particular, I would like to reiterate two of these points:
(1) In general, if any faculty unit unanimously objects to where they are positioned in the plan, I call for the administration to come up with a different solution for that unit. 
(2) In particular, since the CPSC faculty unanimously believe that a Business College is the wrong place for them, I support them and ask the administration to change that part of the plan."
"The only advantage I see is that it attempts to even out the number of faculty in each college. This is an important goal, but the proposed model does this in an unnecessarily complicated way. If we are going to have 3 colleges then they should be created based on the needs of the University, not based on the 3 Deans we currently have.  Each Dean will move on at some point but we will still be stuck with this model. College of Arts and Humanities, Colleges of Sciences, College of Professional Studies (or some other fancy name).  That is it. Make Education and Business ""schools"" in the 3rd college and they can have a department leader like everyone else. They don't need a Dean to help with reaccreditation. If we can have one faculty member (thanks, Nicole!) run reaccreditation for the entire University then certainly one faculty member in Education and Business can be in charge of it in their respective departments. And it is not like the enormous financial investment we have made of the past 15 years in having Deans/separate colleges for Business and Education has paid off. The data clearly show downward numbers in each of those programs.  Stop falling for the ""sunk-cost"" fallacy; we don't need to keep throwing good money after bad investments. It is time to move on. I am fine with creating 3 new colleges to deal with the uneven faculty numbers and administrative burdens we currently have, but lets do it in a smart way that actually solves problems that we have.  Other limitations:  1) Even after several conversations with the Dean I still don't understand why we need school directors and what they would actually do.  It seems like another level of administration that is unnecessary.  If some areas feel like having a Director would be helpful that is fine.  Give someone a course release or two to lead it.  But don't impose this on everyone else unless the need and position is much more clearly defined.  2) Combining departments:  the only reason I can see for this is that we can save a little money on department chair salaries, but those savings are then lost with program directors.  Combining departments doesn't solve SCHEV issues with small numbers of graduates and only seems to be creating more problems. Departments have important identities not only for our current students and faculty, but also for alumni.  Why would we mess with that unless we absolutely had too? 3) The proposed model seems to rely on ""cross-disciplinary"" collaborations as a selling point. Do you really think having administrators telling faculty they must do cross-disciplinary work is going to change things. Provide more support directly to faculty (how about a course release when conducting researching/teaching with someone in a different discipline) rather than paying another administrator to encourage this. 4) Cost-savings?  Cleary an important objective.  But as far as I can tell we would not be saving very much money.  Out of our over $100 million a year budget, maybe $100k at the absolute most. And that is a stretch.  That is minimal savings for the issues it is creating.  ",I doubt it will improve anything for my department.  It will just add another administrative layer above the department chair to deal with.,"From my earlier comments.  If we are going to have 3 colleges then they should be created based on the needs of the University, not based on the 3 Deans we currently have.  Each Dean will move on at some point but we will still be stuck with this model. College of Arts and Humanities, Colleges of Sciences, College of Professional Studies (or some other fancy name).  That is it. Make Education and Business ""schools"" in the 3rd college and they can have a department leader like everyone else. They don't need a Dean to help with reaccreditation. If we can have one faculty member (thanks, Nicole!) run reaccreditation for the entire University then certainly one faculty member in Education and Business can be in charge of it in their respective departments. And it is not like the enormous financial investment we have made of the past 15 years in having Deans/separate colleges for Business and Education has paid off. The data clearly show downward numbers in each of those programs.  Stop falling for the ""sunk-cost"" fallacy; we don't need to keep throwing good money after bad investments. It is time to move on. I am fine with creating 3 new colleges to deal with the uneven faculty numbers and administrative burdens we currently have, but lets do it in a smart way that actually solves problems that we have.  "
"I don't feel that this model will really improve organization at the departmental, college, or university level.  Splitting into schools will create an extra level of bureaucracy that doesn't seem to have much value added for any of us.  For some of us in Arts and Sciences, the change doesn't seem like it will make a huge difference, with the exception of being part of a School (that the students likely won't realize it exists) in addition to part of a college.  For others, however, who will be moving from Arts and Sciences to COB, it seems that the change will bring about many new issues as they will now be under a dean who has a completely different way of operating and doesn't understand CPSC. I feel that things were so much better here at UMW before we split into three colleges in terms of how more unified our faculty was.  I fear that this change into several new schools will just work to further divide us with little, if any, gain financially or otherwise.  The proposed AACPR department is forming under the idea of having power in numbers since there are departments who are currently well under the threshold but doing so won't necessary change anything in terms of SCHEV.  It will, however, change organizational structure with other departments as Sociology will now need to merge with another department and it seems that it would make more sense for Art History to remain with Art.",This model doesn't seem like it will cause much disruption for my department.  It seems like being part of the School of the Humanities will bring about more meetings --I do wonder how attendance will be at those since there are a bunch of faculty that only come to campus twice a week.....  There is the potential for some interesting exchanges and dialogue within the school but not sure how much that will happen in reality.  Even sharing the building with colleagues it's amazing how little I run into many of these colleagues.,"I feel that the move to add CPSC and Math to the College of Business doesn't make sense and will cause more harm than good.  The issue of balancing out workload between the Deans is complicated as the formation of the COB and COE in first place (both of which have fewer faculty members than English).  It is obvious that the Dean of CAS is the main dean and will have a more substantial workload than COB and COE since CAS is the majority, and the heart of the institution. If everything is really ""on the table"", moving away from the three college system would bring folks together more and would definitely bring down our costs.  Back in my early years here we just had a Faculty Senate with more representation and there was only a department chair for COB, not a dean and associate dean.  There was much lower overhead.  And now we have fewer students and more faculty than we had then."
"The reorganization plan as proposed, especially when including the current draft of School Director position descriptions, risks raising barriers to current and potential interdisciplinary collaborations and programs. Students both want to and need help to make these connections.  A currently written, School Directors are supposed to support and advocate for the programs within them and to foster connections among those departments. There's nothing in the descriptions about enhancing connections across schools.   School Directors should be evaluated in part on their ability to foster such collaborations. One method would be to encourage departments to name faculty in other schools as affiliate faculty.

The current plan forces departments in the ""physical and life sciences"" and ""social sciences"" to merge even though the proposed forced mergers do not reflect the interests of students in those departments. The ""savings"" realized through mergers is miniscule in comparison to the overall university budget and certainly do not outweigh the damage to programs such forced mergers will cause.

The current plan places programs in schools and colleges that do not reflect their curricula, faculty expertise, or student interests. Only programs that want to be combined into schools should be combined into schools.

There is no rationale given as to how this plan improves the university's ability to recruit or retain students. ","Geography and Geospatial Analysis are not social science programs. They are sciences of spatial synthesis where students learn to integrate knowledge learned in climate science, geomorphology, cultural geography, political-economic geography, GIS, remote sensing, and other subdisciplines in order to become effective planners, environmental advocates, policy researchers, intelligence analysts, and geospatial analysts. Reducing Geography and Geospatial Analysis to a social science harms our students' ability to make the connections that allow them to understand place and scientifically explain spatial patterns. 

Similarly, placing Geography and Geospatial Analysis in a merged department, such as sociology, marginalizes the students and faculty interested in geographic information science, climate science, and environmental studies. 

If admissions and university communications uses the schools and merged departments to organize the way we market our programs to prospective students, then we will lose students who want to study Geography and Geospatial Analysis (along with many other programs across the university) 

Geography is one the most effective fundraising departments in the University. Our students identify with the department and become alumni who support our Geography and Geospatial Analysis programs with their time, their talents, and their treasure. Placing these programs in a School of Social Science and, especially, merging us with another department threatens our identify and our strong relationships with students and alumni.","1. Programs should not be grouped into schools or colleges unless it is clearly beneficial to those programs.  If Theater, Music, and Art benefit by being parts of a School of Art, then they should be allowed to. But if Political Science, History, Geography, Computer Science and other programs don't benefit, then they should not have to be assigned to schools. We need a more flexible model. Colleagues in several departments are preparing such models.
2. As stated above, departments should not be forced to merge. The cost savings of reducing the number of chairs doesn't justify the costs in recruitment and retention that will result.
3. For any schools and colleges that do emerge from the plan, their directors and member programs should be specifically encouraged to foster interdisciplinary collaborations of students and faculty between schools. For example, naming affiliated faculty, will help students, administrators, career services and admissions staff better understand the ways our programs are already interconnected.
4. Communication and admissions marketing of all programs, regardless of how they are organized, must be done for programs and not for schools or departments unless it is clearly  beneficial.  In other words, all programs have their own websites, admissions helps students find programs that match their interests by program rather than by department or school, career services provides advice based on programs and not based on schools or department, etc.
5. The University should prioritize investing in systems that help students see connections across our divisions and colleges. For example, prospective students should be able to enter their interests in a web form and get a list of programs and courses related to those interests.  And when searching for gen ed and elective courses, current students should be able to use keywords that help them find courses the match their interests."
