Event,Rank,Lane,Athlete,Nation,Time
2008 Olympics 100m,1,4,Usain Bolt,Jamaica,9.69
2008 Olympics 100m,2,5,Richard Thompson,Trinidad and Tobago,9.89
2008 Olympics 100m,3,6,Walter Dix,United States,9.91
2008 Olympics 100m,4,9,Churandy Martina,Netherlands Antilles,9.93
2008 Olympics 100m,5,7,Asafa Powell,Jamaica,9.95
2008 Olympics 100m,6,2,Michael Frater,Jamaica,9.97
2008 Olympics 100m,7,8,Marc Burns,Trinidad and Tobago,10.01
2008 Olympics 100m,8,3,Darvis Patton,United States,10.03
2008 Olympics 200m,1,5,Usain Bolt,Jamaica,19.3
2008 Olympics 200m,2,4,Shawn Crawford,United States,19.96
2008 Olympics 200m,3,8,Walter Dix,United States,19.98
2008 Olympics 200m,4,6,Brian Dzingai,Zimbabwe,20.22
2008 Olympics 200m,5,3,Christian Malcolm,Great Britain,20.4
2008 Olympics 200m,6,2,Kim Collins,Saint Kitts and Nevis,20.59
2008 Olympics 200m,DSQ,7,Churandy Martina,Netherlands Antilles,19.82
2008 Olympics 200m,DSQ,9,Wallace Spearmon,United States,19.95
