Institution,City,State,AdmissionRate,Undergraduates,CarnegieClassification,Ownership,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
Alabama A & M University,Normal,AL,0.716,5098.0,Master's Colleges & Universities: Larger Programs,Public,0.0445,0.0071,0.0053,0.0,0.0,0.0285,0.0658,0.0,0.0391,0.121,0.0374,0.0,0.0356,0.0,0.0107,0.0231,0.0,0.169,0.0089,0.0,0.0,0.0178,0.0,0.0,0.0071,0.0,0.0712,0.0552,0.0409,0.0249,0.0,0.0,0.0,0.0,0.0231,0.0,0.1637,0.0
University of Alabama at Birmingham,Birmingham,AL,0.8854,13284.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0,0.0,0.002,0.0333,0.0,0.0229,0.0,0.0667,0.0559,0.0,0.0051,0.0,0.0,0.0141,0.0327,0.0,0.1125,0.0111,0.0,0.0,0.0,0.0067,0.0,0.0189,0.0007,0.0714,0.0387,0.0195,0.0239,0.0,0.0,0.0,0.0,0.0249,0.2088,0.2159,0.0141
University of Alabama in Huntsville,Huntsville,AL,0.7367,7358.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0,0.0,0.0,0.014,0.0,0.0692,0.0,0.0218,0.3028,0.0,0.0121,0.0,0.0,0.0243,0.0,0.0,0.0504,0.0091,0.0,0.0146,0.0291,0.0055,0.0,0.0382,0.0,0.0212,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0407,0.1341,0.193,0.0073
Alabama State University,Montgomery,AL,0.9799,3495.0,Doctoral/Professional Universities,Public,0.0,0.0,0.0,0.0,0.0923,0.0,0.053,0.0,0.0589,0.0138,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0786,0.0138,0.0,0.0943,0.0098,0.0,0.0,0.0255,0.0,0.053,0.1139,0.0648,0.0196,0.0,0.0,0.0,0.0,0.0511,0.0904,0.1513,0.0059
The University of Alabama,Tuscaloosa,AL,0.789,30725.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0061,0.0,0.0019,0.0877,0.0,0.0148,0.0,0.0262,0.1198,0.0,0.0069,0.0763,0.0,0.0102,0.0,0.0,0.0406,0.0088,0.0,0.0133,0.0311,0.0033,0.0,0.0087,0.0,0.0386,0.0,0.0072,0.0661,0.0,0.0,0.0,0.0,0.0234,0.1077,0.2916,0.0096
Auburn University at Montgomery,Montgomery,AL,0.968,3742.0,Master's Colleges & Universities: Larger Programs,Public,0.0,0.0179,0.0,0.0,0.0317,0.0,0.0938,0.0,0.0634,0.0,0.0,0.0069,0.0,0.0,0.0207,0.0,0.0,0.0607,0.0069,0.0,0.0607,0.0538,0.0,0.0,0.0276,0.0,0.0648,0.0359,0.0,0.0317,0.0,0.0,0.0,0.0,0.0331,0.2276,0.1476,0.0152
Auburn University,Auburn,AL,0.7118,24782.0,Doctoral Universities: Very High Research Activity,Public,0.042,0.0173,0.0201,0.0,0.0467,0.0,0.0373,0.0,0.0457,0.1897,0.0,0.004,0.0349,0.0019,0.0072,0.0002,0.0,0.1088,0.0068,0.0,0.0188,0.0,0.0023,0.0,0.007,0.0,0.0295,0.0,0.0056,0.03,0.0,0.0,0.0,0.0155,0.0279,0.0576,0.2377,0.0056
Birmingham-Southern College,Birmingham,AL,0.6591,1048.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0268,0.0038,0.0,0.0383,0.0,0.0536,0.0,0.0536,0.0077,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0881,0.0421,0.0,0.0307,0.0,0.023,0.0,0.0268,0.0,0.0651,0.0,0.0,0.0421,0.0,0.0,0.0,0.0,0.0728,0.0843,0.2759,0.0536
Faulkner University,Montgomery,AL,0.646,1696.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0026,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0256,0.0,0.0,0.0,0.0,0.0179,0.0128,0.0307,0.0,0.0051,0.0128,0.0,0.0077,0.0256,0.0,0.0179,0.0,0.0,0.0844,0.1995,0.0,0.023,0.0,0.0,0.0,0.0,0.0051,0.0128,0.4987,0.0051
Herzing University-Birmingham,Birmingham,AL,0.9385,608.0,Special Focus Four-Year: Other Health Professions Schools,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288,0.0498,0.0
