Institution,City,State,Undergraduates,Median Earnings
Alabama A & M University,Normal,AL,5098.0,39059.0
University of Alabama at Birmingham,Birmingham,AL,13284.0,50907.0
Amridge University,Montgomery,AL,251.0,37730.0
University of Alabama in Huntsville,Huntsville,AL,7358.0,56901.0
Alabama State University,Montgomery,AL,3495.0,34018.0
The University of Alabama,Tuscaloosa,AL,30725.0,56118.0
Central Alabama Community College,Alexander City,AL,940.0,33095.0
Athens State University,Athens,AL,2511.0,45311.0
Auburn University at Montgomery,Montgomery,AL,3742.0,43743.0
Auburn University,Auburn,AL,24782.0,61042.0
Birmingham-Southern College,Birmingham,AL,1048.0,55236.0
Chattahoochee Valley Community College,Phenix City,AL,1107.0,32075.0
South University-Montgomery,Montgomery,AL,337.0,35237.0
Enterprise State Community College,Enterprise,AL,1336.0,40851.0
Coastal Alabama Community College,Bay Minette,AL,5217.0,34057.0
Faulkner University,Montgomery,AL,1696.0,41523.0
Gadsden State Community College,Gadsden,AL,3513.0,31346.0
New Beginning College of Cosmetology,Albertville,AL,57.0,
George C Wallace Community College-Dothan,Dothan,AL,3191.0,31116.0
George C Wallace State Community College-Hanceville,Hanceville,AL,4303.0,36677.0
George C Wallace State Community College-Selma,Selma,AL,942.0,27232.0
Herzing University-Birmingham,Birmingham,AL,608.0,34238.0
Huntingdon College,Montgomery,AL,838.0,47328.0
Heritage Christian University,Florence,AL,71.0,33257.0
J. F. Drake State Community and Technical College,Huntsville,AL,688.0,28569.0
J F Ingram State Technical College,Deatsville,AL,400.0,
Jacksonville State University,Jacksonville,AL,6992.0,41504.0
Jefferson State Community College,Birmingham,AL,6143.0,37250.0
John C Calhoun State Community College,Tanner,AL,6795.0,34208.0
Lawson State Community College,Birmingham,AL,2779.0,30135.0
University of West Alabama,Livingston,AL,2310.0,38617.0
Lurleen B Wallace Community College,Andalusia,AL,1129.0,30423.0
Marion Military Institute,Marion,AL,314.0,50097.0
Miles College,Fairfield,AL,1517.0,30847.0
University of Mobile,Mobile,AL,1112.0,43640.0
University of Montevallo,Montevallo,AL,2184.0,40439.0
Northwest-Shoals Community College,Muscle Shoals,AL,2095.0,33630.0
University of North Alabama,Florence,AL,5165.0,42601.0
Northeast Alabama Community College,Rainsville,AL,1565.0,34507.0
Oakwood University,Huntsville,AL,1353.0,41219.0
Reid State Technical College,Evergreen,AL,254.0,28816.0
Bishop State Community College,Mobile,AL,1885.0,27611.0
Samford University,Birmingham,AL,3604.0,54742.0
Shelton State Community College,Tuscaloosa,AL,4018.0,33355.0
Snead State Community College,Boaz,AL,1537.0,33215.0
University of South Alabama,Mobile,AL,8631.0,45018.0
Spring Hill College,Mobile,AL,989.0,51166.0
Stillman College,Tuscaloosa,AL,721.0,34087.0
Talladega College,Talladega,AL,1144.0,30032.0
H Councill Trenholm State Community College,Montgomery,AL,1522.0,28768.0
Troy University,Troy,AL,10916.0,41691.0
Tuskegee University,Tuskegee,AL,2184.0,43878.0
United States Sports Academy,Daphne,AL,68.0,48255.0
Bevill State Community College,Jasper,AL,2291.0,33076.0
University of Alaska Anchorage,Anchorage,AK,7284.0,49846.0
Alaska Bible College,Palmer,AK,37.0,
University of Alaska Fairbanks,Fairbanks,AK,4108.0,46150.0
University of Alaska Southeast,Juneau,AK,999.0,41500.0
Alaska Pacific University,Anchorage,AK,347.0,47105.0
Alaska Vocational Technical Center,Seward,AK,259.0,46020.0
Charter College,Vancouver,WA,2215.0,35576.0
Alaska Career College,Anchorage,AK,317.0,31006.0
Empire Beauty School-Tucson,Tucson,AZ,138.0,23071.0
Carrington College-Phoenix North,Phoenix,AZ,1281.0,34219.0
Carrington College-Mesa,Mesa,AZ,591.0,34219.0
Carrington College-Tucson,Tucson,AZ,517.0,34219.0
Arizona Academy of Beauty,Tucson,AZ,48.0,26472.0
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,398.0,28836.0
Brookline College-Phoenix,Phoenix,AZ,1000.0,26545.0
Arizona State University Campus Immersion,Tempe,AZ,64216.0,58967.0
Arizona Western College,Yuma,AZ,7388.0,33960.0
University of Arizona,Tucson,AZ,36560.0,59805.0
Central Arizona College,Coolidge,AZ,4388.0,35797.0
Charles of Italy Beauty College,Lake Havasu City,AZ,56.0,23115.0
Cochise County Community College District,Sierra Vista,AZ,2922.0,35632.0
Empire Beauty School-Chandler,Chandler,AZ,43.0,23122.0
Avalon Institute-Mesa,Mesa,AZ,377.0,25490.0
Eastern Arizona College,Thatcher,AZ,3187.0,37662.0
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,3015.0,82012.0
The School of Architecture,Paradise Valley,AZ,,
Glendale Community College,Glendale,AZ,10528.0,41568.0
Grand Canyon University,Phoenix,AZ,64210.0,38385.0
GateWay Community College,Phoenix,AZ,3691.0,44359.0
Mesa Community College,Mesa,AZ,12167.0,43299.0
Mohave Community College,Kingman,AZ,2622.0,32586.0
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,779.0,46539.0
Dine College,Tsaile,AZ,1224.0,28968.0
Northern Arizona University,Flagstaff,AZ,23772.0,50118.0
Northland Pioneer College,Holbrook,AZ,1124.0,32056.0
Ottawa University-Phoenix,Phoenix,AZ,348.0,48846.0
Phoenix College,Phoenix,AZ,6674.0,38004.0
Pima Community College,Tucson,AZ,13128.0,38416.0
Pima Medical Institute-Tucson,Tucson,AZ,2485.0,35113.0
Pima Medical Institute-Albuquerque,Albuquerque,NM,782.0,32037.0
Prescott College,Prescott,AZ,383.0,37590.0
Refrigeration School Inc,Phoenix,AZ,1007.0,47975.0
Rio Salado College,Tempe,AZ,3824.0,43177.0
Roberto-Venn School of Luthiery,Phoenix,AZ,12.0,35739.0
Scottsdale Community College,Scottsdale,AZ,4764.0,43959.0
South Mountain Community College,Phoenix,AZ,2395.0,36284.0
Arizona Christian University,Glendale,AZ,1012.0,44012.0
Universal Technical Institute of Arizona Inc,Avondale,AZ,1995.0,51889.0
Yavapai College,Prescott,AZ,4004.0,36221.0
University of Arkansas at Little Rock,Little Rock,AR,5025.0,42973.0
University of Arkansas for Medical Sciences,Little Rock,AR,1072.0,71265.0
Arkansas Baptist College,Little Rock,AR,414.0,27908.0
Arkansas Beauty School-Little Rock,Little Rock,AR,28.0,18656.0
Arkansas Beauty College,Russellville,AR,33.0,20578.0
Lyon College,Batesville,AR,576.0,45416.0
Arkansas Technical School,North Little Rock,AR,62.0,20038.0
Arthur's Beauty College,Fort Smith,AR,25.0,22309.0
University of Arkansas,Fayetteville,AR,24001.0,54417.0
University of Arkansas at Pine Bluff,Pine Bluff,AR,2444.0,34777.0
Arkansas State University-Beebe,Beebe,AR,1787.0,33941.0
Arkansas State University,Jonesboro,AR,7478.0,39824.0
Arkansas Tech University,Russellville,AR,6467.0,40334.0
University of Arkansas at Monticello,Monticello,AR,1946.0,35216.0
Arthur's Beauty College,Jacksonville,AR,38.0,20805.0
Baptist Health College Little Rock,Little Rock,AR,666.0,57627.0
Black River Technical College,Pocahontas,AR,1068.0,31970.0
University of Central Arkansas,Conway,AR,7763.0,43712.0
Central Baptist College,Conway,AR,546.0,42333.0
Cossatot Community College of the University of Arkansas,De Queen,AR,858.0,29335.0
Crowley's Ridge College,Paragould,AR,170.0,29667.0
East Arkansas Community College,Forrest City,AR,606.0,27806.0
Eastern College of Health Vocations-Little Rock,Little Rock,AR,62.0,23529.0
Paul Mitchell the School-Little Rock,North Little Rock,AR,330.0,17941.0
National Park College,Hot Springs,AR,1903.0,30459.0
University of Arkansas Community College-Batesville,Batesville,AR,698.0,31098.0
Harding University,Searcy,AR,3262.0,50273.0
Henderson State University,Arkadelphia,AR,2205.0,40681.0
Hendrix College,Conway,AR,1103.0,48230.0
Hot Springs Beauty College,Hot Springs,AR,85.0,15490.0
Jefferson Regional School of Nursing,Pine Bluff,AR,66.0,74882.0
John Brown University,Siloam Springs,AR,1381.0,54964.0
Career Academy of Hair Design,Springdale,AR,196.0,22761.0
Academy of Salon and Spa,Fort Smith,AR,53.0,20406.0
Arkansas State University Mid-South,West Memphis,AR,525.0,27245.0
Arkansas Northeastern College,Blytheville,AR,786.0,31975.0
New Tyler Barber College Inc,North Little Rock,AR,33.0,20635.0
North Arkansas College,Harrison,AR,1161.0,32634.0
Northwest Technical Institute,Springdale,AR,155.0,42251.0
Ouachita Baptist University,Arkadelphia,AR,1572.0,46670.0
Arkansas State University Three Rivers,Malvern,AR,424.0,33494.0
Ozarka College,Melbourne,AR,627.0,29599.0
University of the Ozarks,Clarksville,AR,775.0,40448.0
University of Arkansas Community College-Morrilton,Morrilton,AR,1586.0,33405.0
Philander Smith College,Little Rock,AR,709.0,35537.0
Phillips Community College of the University of Arkansas,Helena,AR,611.0,27526.0
Southeast Arkansas College,Pine Bluff,AR,808.0,28717.0
Professional Cosmetology Education Center,El Dorado,AR,37.0,26020.0
University of Arkansas-Pulaski Technical College,North Little Rock,AR,4110.0,31765.0
University of Arkansas Hope-Texarkana,Hope,AR,760.0,31229.0
University of Arkansas Community College Rich Mountain,Mena,AR,529.0,28861.0
Paul Mitchell the School-Arkansas,Fayetteville,AR,118.0,23940.0
Searcy Beauty College,Searcy,AR,84.0,11306.0
Shorter College,N Little Rock,AR,245.0,
Williams Baptist University,Walnut Ridge,AR,593.0,38840.0
South Arkansas Community College,El Dorado,AR,889.0,33232.0
Southern Arkansas University Main Campus,Magnolia,AR,2795.0,40671.0
Southern Arkansas University Tech,Camden,AR,725.0,33279.0
Velvatex College of Beauty Culture,Little Rock,AR,15.0,18070.0
University of Arkansas-Fort Smith,Fort Smith,AR,4188.0,39832.0
Academy of Art University,San Francisco,CA,5294.0,39739.0
Academy of Chinese Culture and Health Sciences,Oakland,CA,,
College of Alameda,Alameda,CA,3629.0,42463.0
Allan Hancock College,Santa Maria,CA,7389.0,38206.0
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,217.0,25799.0
Berkeley School of Theology,Berkeley,CA,,
American Film Institute Conservatory,Los Angeles,CA,,
American Beauty College,West Covina,CA,185.0,22077.0
American Career College-Los Angeles,Los Angeles,CA,1902.0,36014.0
American Conservatory Theater,San Francisco,CA,1.0,
American River College,Sacramento,CA,22837.0,37189.0
Antelope Valley Community College District,Lancaster,CA,9670.0,33708.0
Art Center College of Design,Pasadena,CA,2026.0,70731.0
Associated Technical College-Los Angeles,Los Angeles,CA,180.0,23436.0
Associated Technical College-San Diego,San Diego,CA,43.0,25100.0
Azusa Pacific University,Azusa,CA,3937.0,61701.0
Bakersfield College,Bakersfield,CA,16900.0,35033.0
Barstow Community College,Barstow,CA,2071.0,32782.0
Bellus Academy-Chula Vista,Chula Vista,CA,406.0,21987.0
Bethesda University,Anaheim,CA,264.0,
Biola University,La Mirada,CA,3592.0,53148.0
Brownson Technical School,Anaheim,CA,241.0,51438.0
Bryan University,Tempe,AZ,1361.0,42510.0
Butte College,Oroville,CA,8579.0,37568.0
California Institute of Integral Studies,San Francisco,CA,84.0,35813.0
Cabrillo College,Aptos,CA,8035.0,40878.0
California Baptist University,Riverside,CA,8234.0,56253.0
California College of the Arts,San Francisco,CA,1239.0,49184.0
University of California-Hastings College of Law,San Francisco,CA,,
California Institute of Technology,Pasadena,CA,987.0,104209.0
California Lutheran University,Thousand Oaks,CA,2588.0,65401.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,21090.0,85801.0
Alliant International University-San Diego,San Diego,CA,227.0,63932.0
California State University-Bakersfield,Bakersfield,CA,8870.0,55530.0
California State University-Stanislaus,Turlock,CA,9161.0,58120.0
California State University-San Bernardino,San Bernardino,CA,16595.0,55258.0
California State Polytechnic University-Pomona,Pomona,CA,26802.0,67406.0
California State University-Chico,Chico,CA,14343.0,61010.0
California State University-Dominguez Hills,Carson,CA,15214.0,49934.0
California State University-Fresno,Fresno,CA,21826.0,55534.0
California State University-Fullerton,Fullerton,CA,35502.0,58585.0
California State University-East Bay,Hayward,CA,12047.0,64188.0
California State University-Long Beach,Long Beach,CA,33765.0,60973.0
