carrier,flight,origin,dest,dep_delay
US,1895,EWR,CLT,-5.0
UA,1014,LGA,IAH,-3.0
AA,2243,JFK,MIA,2.0
UA,303,JFK,SFO,-8.0
US,795,LGA,PHL,-8.0
DL,731,LGA,DTW,-7.0
B6,371,LGA,FLL,-7.0
EV,6177,EWR,IAD,-6.0
UA,1187,LGA,ORD,-5.0
UA,258,EWR,MCO,-2.0
EV,5747,LGA,IAD,-4.0
EV,5716,JFK,IAD,-4.0
B6,583,JFK,MCO,-3.0
B6,605,EWR,FLL,-3.0
B6,1403,JFK,SJU,-2.0
UA,665,EWR,SFO,-1.0
DL,1377,LGA,ATL,-1.0
UA,652,EWR,IAH,45.0
EV,4120,EWR,CLE,-5.0
AA,1103,LGA,DFW,-4.0
US,883,EWR,CLT,-8.0
B6,601,JFK,FLL,-3.0
B6,905,JFK,ORD,-2.0
UA,482,EWR,FLL,-5.0
US,1899,JFK,CLT,-1.0
DL,575,EWR,ATL,-10.0
B6,2180,EWR,BOS,-4.0
B6,929,JFK,RSW,-8.0
EV,4533,EWR,BUF,-7.0
US,2085,LGA,CLT,-7.0
AA,303,LGA,ORD,-7.0
AA,1205,EWR,MIA,-4.0
B6,525,JFK,TPA,-10.0
EV,4241,EWR,DCA,-5.0
DL,479,JFK,ATL,-4.0
UA,1299,EWR,RSW,-4.0
US,495,JFK,PHX,-4.0
EV,4122,EWR,SDF,-2.0
UA,398,JFK,LAX,-5.0
UA,883,EWR,DEN,0.0
UA,407,EWR,TPA,-5.0
AA,2267,LGA,MIA,-8.0
B6,318,JFK,BOS,-10.0
B6,675,JFK,MSY,0.0
UA,385,LGA,IAH,-14.0
AA,1263,JFK,LAS,-7.0
DL,315,JFK,SJU,-4.0
B6,23,JFK,LAX,-9.0
DL,1415,JFK,SLC,-8.0
DL,2285,LGA,MCO,-7.0
AA,1175,LGA,MIA,54.0
DL,1547,LGA,ATL,-6.0
DL,430,JFK,SFO,-5.0
DL,472,JFK,LAX,-5.0
UA,156,LGA,ORD,-5.0
DL,1879,LGA,FLL,-4.0
B6,2702,JFK,BUF,-3.0
EV,3846,EWR,IND,-4.0
B6,3,JFK,SJU,-5.0
AA,2493,JFK,MCO,-10.0
AA,305,LGA,ORD,-7.0
DL,2003,LGA,MIA,-7.0
AA,1345,JFK,MIA,-6.0
DL,831,LGA,DTW,-11.0
UA,265,EWR,MSY,-2.0
B6,1099,LGA,MCO,48.0
B6,677,JFK,JAX,-7.0
EV,4277,EWR,RDU,-4.0
B6,1289,EWR,SJU,-4.0
B6,461,LGA,PBI,-3.0
EV,4114,EWR,BOS,-3.0
AA,2279,LGA,MIA,-6.0
EV,4125,EWR,GSO,-11.0
UA,1506,EWR,LAX,2.0
EV,4140,EWR,ATL,50.0
EV,4297,EWR,DTW,-8.0
DL,807,EWR,ATL,-5.0
B6,1717,LGA,TPA,-5.0
EV,5795,EWR,BTV,-4.0
UA,377,EWR,MCO,-3.0
B6,885,JFK,RDU,6.0
DL,183,JFK,SEA,-2.0
UA,1216,EWR,SJU,6.0
UA,295,EWR,IAH,4.0
US,1733,LGA,CLT,-7.0
B6,1273,JFK,CHS,-6.0
B6,1511,EWR,RSW,-10.0
UA,1148,EWR,TPA,-4.0
B6,1307,JFK,IAD,-3.0
UA,584,EWR,PDX,-2.0
AA,307,LGA,ORD,-6.0
DL,2190,JFK,MIA,-7.0
UA,1553,LGA,ORD,-6.0
DL,1959,JFK,MCO,-5.0
DL,346,JFK,TPA,-9.0
UA,397,JFK,SFO,-4.0
DL,2047,LGA,ATL,-4.0
UA,391,EWR,PHX,-3.0
AA,936,JFK,STT,-3.0
DL,1271,JFK,FLL,-9.0
UA,561,LGA,DEN,-7.0
AA,1111,LGA,DFW,-5.0
UA,281,EWR,SFO,0.0
AA,59,JFK,SFO,20.0
B6,1783,JFK,MCO,-2.0
B6,163,JFK,SRQ,23.0
DL,1429,JFK,LAS,-5.0
AA,1357,JFK,SJU,-5.0
US,409,EWR,CLT,0.0
AA,84,JFK,BOS,-5.0
B6,219,JFK,CLT,-9.0
EV,4625,EWR,BWI,8.0
UA,1626,EWR,SAN,-1.0
B6,281,JFK,HOU,6.0
US,752,JFK,CLT,-3.0
DL,1743,JFK,ATL,-6.0
DL,2119,LGA,MSP,-5.0
EV,4240,EWR,BUF,-9.0
UA,443,JFK,LAX,-3.0
EV,4638,EWR,CVG,-6.0
AA,33,JFK,LAX,29.0
EV,3815,EWR,ROC,-4.0
B6,2280,EWR,BOS,-3.0
UA,1170,EWR,FLL,-1.0
EV,4111,EWR,CHS,24.0
EV,4388,EWR,JAX,-3.0
DL,1109,LGA,TPA,-3.0
B6,1025,JFK,TPA,-5.0
US,2071,LGA,CLT,-5.0
B6,795,JFK,AUS,-2.0
UA,1682,EWR,DEN,-6.0
UA,238,EWR,SEA,6.0
AA,1121,LGA,DFW,-8.0
EV,4179,EWR,BOS,7.0
UA,544,LGA,ORD,-8.0
DL,301,JFK,SJU,-2.0
US,2173,LGA,DCA,-7.0
DL,181,LGA,DTW,-11.0
UA,505,JFK,SFO,-6.0
AA,313,LGA,ORD,-6.0
DL,422,JFK,LAX,-5.0
DL,970,LGA,FLL,-5.0
B6,27,EWR,MCO,-5.0
B6,586,JFK,ROC,-4.0
DL,1747,LGA,ATL,-4.0
B6,1701,JFK,FLL,-3.0
UA,1223,EWR,LAX,13.0
B6,208,JFK,PWM,-6.0
DL,394,EWR,ATL,0.0
EV,5858,EWR,DCA,-6.0
EV,4409,EWR,RIC,32.0
UA,1030,EWR,ORD,1.0
B6,653,JFK,PBI,-7.0
EV,5133,EWR,DTW,-3.0
AA,1,JFK,LAX,-4.0
B6,1634,JFK,BTV,-2.0
UA,343,EWR,MCO,-4.0
AA,1499,JFK,MIA,-4.0
UA,997,EWR,LAX,170.0
UA,1519,EWR,STT,-1.0
B6,199,LGA,MCO,-9.0
B6,271,LGA,FLL,-8.0
AA,1223,EWR,DFW,-3.0
B6,483,JFK,MCO,-4.0
EV,4714,EWR,CLT,0.0
EV,4935,LGA,SRQ,-3.0
UA,15,EWR,HNL,-3.0
EV,5540,LGA,ILM,-10.0
DL,1174,LGA,PBI,-6.0
B6,116,JFK,SYR,-7.0
AA,317,LGA,ORD,-6.0
DL,874,LGA,MIA,-2.0
DL,1885,LGA,MCO,-7.0
DL,2457,LGA,MSY,-2.0
B6,5,EWR,FLL,-6.0
EV,5711,JFK,IAD,-10.0
AA,1030,LGA,STL,-6.0
EV,4380,EWR,MSP,69.0
EV,4255,EWR,CHS,-5.0
DL,469,JFK,SFO,-5.0
UA,1094,LGA,ORD,-5.0
US,1808,LGA,CLT,-9.0
EV,5951,EWR,CLE,-8.0
UA,1110,EWR,LAS,-2.0
UA,1257,LGA,IAH,-3.0
DL,351,LGA,MSP,-7.0
DL,761,LGA,DEN,-2.0
AA,1160,LGA,MIA,-1.0
B6,411,JFK,LAS,0.0
B6,403,JFK,SJU,13.0
UA,1183,EWR,RSW,1.0
UA,421,EWR,SFO,1.0
EV,5736,LGA,IAD,-6.0
US,604,EWR,PHX,-2.0
UA,497,EWR,PBI,79.0
B6,518,JFK,BOS,-8.0
UA,642,JFK,SFO,-7.0
US,1984,EWR,CLT,-5.0
US,2067,JFK,CLT,4.0
AA,1131,LGA,DFW,-5.0
EV,4187,EWR,BNA,-7.0
B6,1,JFK,FLL,2.0
B6,925,JFK,TPA,-7.0
UA,1711,EWR,IAH,-3.0
US,679,JFK,PHX,-4.0
AA,19,JFK,LAX,-3.0
DL,1529,JFK,LAS,-2.0
AA,179,JFK,SFO,0.0
AA,325,LGA,ORD,-5.0
EV,4495,EWR,SAV,6.0
B6,2602,JFK,BUF,-5.0
EV,4662,EWR,RDU,-6.0
EV,3806,EWR,IAD,24.0
EV,4118,EWR,DTW,-5.0
EV,4162,EWR,STL,-4.0
EV,5443,LGA,CLT,78.0
UA,364,EWR,IAH,118.0
B6,971,LGA,FLL,-8.0
DL,695,JFK,MCO,-8.0
DL,1869,LGA,DTW,-8.0
DL,835,EWR,DTW,-6.0
DL,1275,JFK,SLC,-6.0
DL,1647,LGA,ATL,-5.0
US,2177,LGA,DCA,-2.0
EV,4445,EWR,IND,-9.0
UA,785,EWR,LAX,3.0
AA,1599,LGA,MIA,-6.0
UA,405,LGA,DEN,-8.0
DL,2098,LGA,MIA,-7.0
UA,287,EWR,TPA,-4.0
EV,5346,LGA,ROC,-10.0
EV,4679,EWR,JAX,17.0
EV,5309,LGA,BGR,-10.0
UA,1143,EWR,PBI,4.0
US,1892,LGA,CLT,-7.0
DL,1875,LGA,TPA,-9.0
EV,5333,LGA,CHS,-8.0
UA,703,JFK,LAX,9.0
DL,1785,LGA,PBI,-3.0
EV,5392,EWR,MSP,3.0
